Posted_Date,Transaction_Date,Action,Ticker,Expiry,Strike,Option_Type,Type,Quantity,Price,Fees & Com,Amount,Status
03/31/2025,03/31/2025,Qualified Dividend,AVGO,,0.0,,Dividend,0.0,0.0,0.0,295.0,Close
03/31/2025,03/28/2025,Expired,MCD,03/28/2025,287.5,Put,Expired,1.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Expired,EXPE,03/28/2025,172.5,Call,Expired,2.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Expired,AAPL,03/28/2025,227.5,Call,Expired,3.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Buy,INTC,,0.0,,Stock Buy,1000.0,23.5,0.0,-23500.0,Open
03/31/2025,03/28/2025,Buy,AVGO,,0.0,,Stock Buy,200.0,170.0,0.0,-34000.0,Open
03/31/2025,03/28/2025,Expired,NVDA,03/28/2025,105.0,Put,Expired,2.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Expired,HD,03/28/2025,335.0,Put,Expired,2.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Expired,COST,03/28/2025,860.0,Put,Expired,1.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Expired,COST,03/28/2025,840.0,Put,Expired,1.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Expired,COST,03/28/2025,800.0,Put,Expired,1.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Expired,WDAY,03/28/2025,260.0,Call,Expired,2.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Expired,ORCL,03/28/2025,165.0,Call,Expired,6.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Expired,ORCL,03/28/2025,140.0,Put,Expired,1.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Expired,INTC,03/28/2025,24.0,Call,Expired,25.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Expired,HD,03/28/2025,395.0,Call,Expired,3.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Expired,EXPE,03/28/2025,150.0,Put,Expired,-2.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Expired,DE,03/28/2025,405.0,Put,Expired,1.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Expired,CAT,03/28/2025,320.0,Put,Expired,2.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Assigned,INTC,03/28/2025,23.5,Put,Assigned,10.0,0.0,0.0,0.0,Close
03/31/2025,03/28/2025,Assigned,AVGO,03/28/2025,170.0,Put,Assigned,2.0,0.0,0.0,0.0,Close
03/28/2025,03/28/2025,Credit Interest,,,0.0,,Interest,0.0,0.0,0.0,11.33,Open
03/28/2025,03/28/2025,Margin Interest,,,0.0,,Interest,0.0,0.0,0.0,-233.95,Open
03/28/2025,03/28/2025,Sell to Open,WDAY,04/04/2025,220.0,Put,Put Sell,2.0,0.6,0.53,119.47,Close
03/28/2025,03/28/2025,Buy to Close,WDAY,03/28/2025,237.5,Put,Put Buy,2.0,1.35,0.52,-270.52,Close
03/28/2025,03/28/2025,Sell to Open,MCD,04/11/2025,295.0,Put,Put Sell,2.0,0.95,0.54,189.46,Open
03/28/2025,03/28/2025,Sell to Open,CAT,04/04/2025,310.0,Put,Put Sell,2.0,0.98,0.54,195.46,Close
03/27/2025,03/27/2025,Qualified Dividend,HD,,0.0,,Dividend,0.0,0.0,0.0,690.0,Close
03/27/2025,03/27/2025,Cash Dividend,VFMO,,0.0,,Dividend,0.0,0.0,0.0,31.18,Close
03/27/2025,03/27/2025,Cash Dividend,VDE,,0.0,,Dividend,0.0,0.0,0.0,189.74,Close
03/26/2025,03/26/2025,Buy to Close,AVGO,03/28/2025,225.0,Call,Call Buy,5.0,0.01,0.05,-5.05,Close
03/26/2025,03/26/2025,Sell to Open,AAPL,04/04/2025,210.0,Put,Put Sell,2.0,0.91,0.54,181.46,Close
03/26/2025,03/26/2025,Sell to Open,CAT,04/04/2025,320.0,Put,Put Sell,2.0,1.04,0.54,207.46,Close
03/26/2025,03/26/2025,Sell to Open,AVGO,04/04/2025,160.0,Put,Put Sell,2.0,0.83,0.53,165.47,Close
03/26/2025,03/26/2025,Sell to Open,ORCL,04/04/2025,135.0,Put,Put Sell,2.0,0.64,0.53,127.47,Close
03/26/2025,03/26/2025,Sell to Open,WDAY,04/04/2025,237.5,Put,Put Sell,2.0,1.05,0.54,209.46,Close
03/26/2025,03/26/2025,Sell to Open,NVDA,04/04/2025,108.0,Put,Put Sell,2.0,0.91,0.54,181.46,Close
03/26/2025,03/26/2025,Sell to Open,HD,04/04/2025,340.0,Put,Put Sell,2.0,0.6,0.53,119.47,Close
03/26/2025,03/26/2025,Cash Dividend,XLF,,0.0,,Dividend,0.0,0.0,0.0,73.3,Close
03/25/2025,03/25/2025,Sell to Open,AVGO,04/04/2025,175.0,Put,Put Sell,2.0,1.19,0.54,237.46,Close
03/25/2025,03/25/2025,Buy to Close,AAPL,03/28/2025,230.0,Call,Call Buy,1.0,0.23,0.26,-23.26,Close
03/25/2025,03/25/2025,Sell to Open,XOM,04/04/2025,115.0,Put,Put Sell,3.0,0.91,0.8,272.2,Close
03/24/2025,03/21/2025,Expired,NVDA,03/21/2025,131.0,Call,Expired,5.0,0.0,0.0,0.0,Close
03/24/2025,03/21/2025,Expired,RF,03/21/2025,21.0,Put,Expired,3.0,0.0,0.0,0.0,Close
03/24/2025,03/21/2025,Expired,HD,03/21/2025,335.0,Put,Expired,1.0,0.0,0.0,0.0,Close
03/24/2025,03/21/2025,Expired,CMI,03/21/2025,320.0,Put,Expired,2.0,0.0,0.0,0.0,Close
03/24/2025,03/21/2025,Expired,MCD,03/21/2025,295.0,Put,Expired,1.0,0.0,0.0,0.0,Close
03/24/2025,03/21/2025,Expired,VGT,03/21/2025,550.0,Put,Expired,3.0,0.0,0.0,0.0,Close
03/24/2025,03/21/2025,Expired,CAT,03/21/2025,320.0,Put,Expired,2.0,0.0,0.0,0.0,Close
03/24/2025,03/21/2025,Exchange or Exercise,TOL,03/21/2025,135.0,Put,Exchange or Exercise,-3.0,0.0,0.0,0.0,Close
03/24/2025,03/21/2025,Exchange or Exercise,TOL,03/21/2025,130.0,Put,Exchange or Exercise,-5.0,0.0,0.0,0.0,Close
03/24/2025,03/21/2025,Exchange or Exercise,TOL,03/21/2025,120.0,Put,Exchange or Exercise,-1.0,0.0,0.0,0.0,Close
03/24/2025,03/21/2025,Assigned,XOM,03/21/2025,115.0,Call,Assigned,3.0,0.0,0.0,0.0,Close
03/24/2025,03/21/2025,Exchange or Exercise,NVDA,03/21/2025,140.0,Put,Exchange or Exercise,-40.0,0.0,0.0,0.0,Close
03/24/2025,03/21/2025,Assigned,GBTC,03/21/2025,68.0,Put,Assigned,2.0,0.0,0.0,0.0,Close
03/24/2025,03/21/2025,Sell,TOL,,0.0,,Stock Sell,300.0,135.0,1.18,40498.82,Open
03/24/2025,03/21/2025,Sell,TOL,,0.0,,Stock Sell,500.0,130.0,1.89,64998.11,Open
03/24/2025,03/21/2025,Sell,TOL,,0.0,,Stock Sell,100.0,120.0,0.35,11999.65,Open
03/24/2025,03/21/2025,Sell,XOM,,0.0,,Stock Sell,300.0,115.0,1.01,34498.99,Open
03/24/2025,03/21/2025,Sell,NVDA,,0.0,,Stock Sell,4000.0,140.0,16.23,559983.77,Open
03/24/2025,03/21/2025,Buy,GBTC,,0.0,,Stock Buy,200.0,68.0,0.0,-13600.0,Open
03/21/2025,03/21/2025,Cash Dividend,IYF,,0.0,,Dividend,0.0,0.0,0.0,37.05,Close
03/21/2025,03/20/2025,Assigned,AAPL,04/17/2025,250.0,Put,Assigned,9.0,0.0,0.0,0.0,Close
03/21/2025,03/20/2025,Buy,AAPL,,0.0,,Stock Buy,900.0,250.0,0.0,-225000.0,Open
03/20/2025,03/20/2025,Sell to Open,HD,03/28/2025,335.0,Put,Put Sell,2.0,0.54,0.53,107.47,Close
03/20/2025,03/20/2025,Sell to Open,COST,03/28/2025,860.0,Put,Put Sell,1.0,2.66,0.27,265.73,Close
03/20/2025,03/20/2025,Sell to Open,CAT,03/28/2025,320.0,Put,Put Sell,2.0,1.07,0.54,213.46,Close
03/20/2025,03/20/2025,Buy to Close,WDAY,03/28/2025,265.0,Call,Call Buy,2.0,0.53,0.52,-106.52,Close
03/20/2025,03/19/2025,Assigned,IYF,03/21/2025,116.0,Put,Assigned,1.0,0.0,0.0,0.0,Close
03/20/2025,03/19/2025,Buy,IYF,,0.0,,Stock Buy,100.0,116.0,0.0,-11600.0,Open
03/18/2025,03/18/2025,Sell to Open,ORCL,03/28/2025,140.0,Put,Put Sell,1.0,0.91,0.26,90.74,Close
03/18/2025,03/18/2025,Sell to Open,NVDA,03/28/2025,105.0,Put,Put Sell,2.0,0.75,0.53,149.47,Close
03/18/2025,03/18/2025,Sell to Open,MCD,03/21/2025,295.0,Put,Put Sell,1.0,0.54,0.26,53.74,Close
03/18/2025,03/18/2025,Sell to Open,HD,03/21/2025,335.0,Put,Put Sell,1.0,0.68,0.26,67.74,Close
03/18/2025,03/18/2025,Sell to Open,CAT,03/21/2025,320.0,Put,Put Sell,2.0,0.46,0.53,91.47,Close
03/18/2025,03/17/2025,Assigned,AAPL,04/17/2025,250.0,Put,Assigned,1.0,0.0,0.0,0.0,Close
03/18/2025,03/17/2025,Assigned,NVDA,03/21/2025,150.0,Put,Assigned,20.0,0.0,0.0,0.0,Close
03/18/2025,03/17/2025,Buy,AAPL,,0.0,,Stock Buy,100.0,250.0,0.0,-25000.0,Open
03/18/2025,03/17/2025,Buy,NVDA,,0.0,,Stock Buy,2000.0,150.0,0.0,-300000.0,Open
03/17/2025,03/17/2025,Reinvest Dividend,SGUXX,,0.0,,Dividend,0.0,0.0,0.0,8086.45,Close
03/17/2025,03/17/2025,Reinvest Shares,SGUXX,,0.0,,Reinvest Shares,8086.45,1.0,0.0,-8086.45,Open
03/17/2025,03/17/2025,Sell to Open,WDAY,03/28/2025,237.5,Put,Put Sell,2.0,1.37,0.54,273.46,Close
03/17/2025,03/17/2025,Sell to Open,CMI,04/17/2025,280.0,Put,Put Sell,2.0,1.02,0.54,203.46,Open
03/17/2025,03/17/2025,Sell to Open,DE,04/04/2025,440.0,Put,Put Sell,1.0,2.01,0.27,200.73,Close
03/17/2025,03/17/2025,Sell to Open,INTC,03/28/2025,23.5,Put,Put Sell,10.0,0.24,2.65,237.35,Close
03/17/2025,03/17/2025,Sell to Open,COST,03/28/2025,840.0,Put,Put Sell,1.0,1.43,0.26,142.74,Close
03/17/2025,03/17/2025,Sell to Open,AVGO,03/28/2025,170.0,Put,Put Sell,2.0,1.09,0.54,217.46,Close
03/17/2025,03/17/2025,Sell to Open,WDAY,03/28/2025,265.0,Call,Call Sell,2.0,0.65,0.53,129.47,Close
03/17/2025,03/17/2025,Sell to Open,MCD,03/28/2025,287.5,Put,Put Sell,1.0,0.75,0.26,74.74,Close
03/17/2025,03/14/2025,Buy,EXPE,,0.0,,Stock Buy,200.0,170.0,0.0,-34000.0,Open
03/17/2025,03/14/2025,Expired,WDAY,03/14/2025,227.5,Put,Expired,2.0,0.0,0.0,0.0,Close
03/17/2025,03/14/2025,Expired,AVGO,03/14/2025,165.0,Put,Expired,2.0,0.0,0.0,0.0,Close
03/17/2025,03/14/2025,Expired,AVGO,03/14/2025,185.0,Put,Expired,2.0,0.0,0.0,0.0,Close
03/17/2025,03/14/2025,Assigned,EXPE,03/14/2025,170.0,Put,Assigned,2.0,0.0,0.0,0.0,Close
03/14/2025,03/14/2025,Buy to Close,CVX,03/28/2025,165.0,Call,Call Buy,5.0,0.32,1.3,-161.3,Close
03/14/2025,03/14/2025,Buy to Close,MSFT,03/14/2025,375.0,Put,Put Buy,2.0,0.01,0.02,-2.02,Close
03/14/2025,03/14/2025,Buy to Close,HD,03/14/2025,350.0,Put,Put Buy,3.0,0.4,0.78,-120.78,Close
03/14/2025,03/14/2025,Sell to Open,AAPL,03/28/2025,230.0,Call,Call Sell,1.0,0.56,0.26,55.74,Close
03/14/2025,03/14/2025,Buy to Close,COST,03/14/2025,900.0,Put,Put Buy,2.0,0.2,0.52,-40.52,Close
03/14/2025,03/14/2025,Buy to Close,AAPL,03/14/2025,235.0,Call,Call Buy,3.0,0.01,0.03,-3.03,Close
03/14/2025,03/14/2025,Buy to Close,AAPL,03/14/2025,210.0,Put,Put Buy,1.0,0.05,0.01,-5.01,Close
03/14/2025,03/14/2025,Buy to Close,BLK,03/28/2025,850.0,Put,Put Buy,1.0,3.0,0.26,-300.26,Close
03/14/2025,03/14/2025,Buy to Close,SPY,03/14/2025,535.0,Put,Put Buy,3.0,0.01,0.03,-3.03,Close
03/14/2025,03/14/2025,Sell to Open,EXPE,03/28/2025,172.5,Call,Call Sell,2.0,1.5,0.54,299.46,Close
03/14/2025,03/14/2025,Buy to Open,EXPE,03/28/2025,150.0,Put,Put Buy,2.0,1.65,0.52,-330.52,Close
03/14/2025,03/14/2025,Buy to Close,MCD,03/28/2025,270.0,Put,Put Buy,2.0,0.3,0.52,-60.52,Close
03/14/2025,03/14/2025,Buy to Close,IBIT,03/14/2025,56.0,Call,Call Buy,3.0,0.01,0.03,-3.03,Close
03/14/2025,03/14/2025,Buy to Close,CAT,03/14/2025,335.0,Put,Put Buy,2.0,0.15,0.52,-30.52,Close
03/14/2025,03/14/2025,Buy to Close,CVX,03/14/2025,143.0,Put,Put Buy,1.0,0.01,0.01,-1.01,Close
03/14/2025,03/14/2025,Buy to Close,CVX,03/14/2025,165.0,Call,Call Buy,9.0,0.01,0.1,-9.1,Close
03/14/2025,03/14/2025,Buy to Close,COST,03/14/2025,860.0,Put,Put Buy,1.0,0.02,0.01,-2.01,Close
03/14/2025,03/14/2025,Buy to Close,COST,03/14/2025,840.0,Put,Put Buy,1.0,0.02,0.01,-2.01,Close
03/14/2025,03/14/2025,Buy to Close,ORCL,03/14/2025,130.0,Put,Put Buy,2.0,0.01,0.02,-2.02,Close
03/14/2025,03/14/2025,Sell to Open,NVDA,03/21/2025,131.0,Call,Call Sell,5.0,0.89,1.32,443.68,Close
03/14/2025,03/14/2025,Buy to Close,NVDA,03/21/2025,130.0,Call,Call Buy,5.0,1.05,1.3,-526.3,Close
03/14/2025,03/14/2025,Buy to Close,IVV,03/14/2025,550.0,Put,Put Buy,1.0,0.1,0.26,-10.26,Close
03/14/2025,03/14/2025,Buy to Close,MSFT,03/14/2025,360.0,Put,Put Buy,1.0,0.01,0.01,-1.01,Close
03/14/2025,03/14/2025,Buy to Close,MSFT,03/14/2025,350.0,Put,Put Buy,2.0,0.01,0.02,-2.02,Close
03/14/2025,03/14/2025,Buy to Close,MCD,03/14/2025,290.0,Put,Put Buy,2.0,0.02,0.02,-4.02,Close
03/14/2025,03/14/2025,Buy to Close,IBIT,03/14/2025,48.0,Put,Put Buy,1.0,0.78,0.26,-78.26,Close
03/14/2025,03/14/2025,Buy to Close,DE,03/14/2025,460.0,Put,Put Buy,2.0,0.1,0.52,-20.52,Close
03/14/2025,03/14/2025,Sell to Open,BLK,03/28/2025,850.0,Put,Put Sell,1.0,4.15,0.27,414.73,Close
03/14/2025,03/14/2025,Sell to Open,AAPL,03/28/2025,227.5,Call,Call Sell,3.0,1.01,0.8,302.2,Close
03/14/2025,03/13/2025,Assigned,AAPL,03/14/2025,232.5,Put,Assigned,1.0,0.0,0.0,0.0,Close
03/14/2025,03/13/2025,Buy,AAPL,,0.0,,Stock Buy,100.0,232.5,0.0,-23250.0,Open
03/13/2025,03/13/2025,Sell to Open,WDAY,03/28/2025,260.0,Call,Call Sell,2.0,1.07,0.54,213.46,Close
03/12/2025,03/12/2025,Sell to Open,ORCL,03/28/2025,165.0,Call,Call Sell,3.0,1.14,0.8,341.2,Close
03/12/2025,03/12/2025,Sell to Open,XOM,03/21/2025,115.0,Call,Call Sell,3.0,0.42,0.79,125.21,Close
03/12/2025,03/12/2025,Sell to Open,DE,03/28/2025,405.0,Put,Put Sell,1.0,1.23,0.26,122.74,Close
03/12/2025,03/12/2025,Sell to Open,CVX,03/28/2025,165.0,Call,Call Sell,5.0,0.33,1.31,163.69,Close
03/12/2025,03/12/2025,Sell to Open,COST,03/28/2025,800.0,Put,Put Sell,1.0,1.05,0.26,104.74,Close
03/12/2025,03/12/2025,Sell to Open,AVGO,03/14/2025,185.0,Put,Put Sell,2.0,1.05,0.54,209.46,Close
03/12/2025,03/12/2025,Sell to Open,ORCL,03/28/2025,165.0,Call,Call Sell,3.0,0.6,0.8,179.2,Close
03/12/2025,03/12/2025,Sell to Open,INTC,03/28/2025,24.0,Call,Call Sell,25.0,0.27,6.61,668.39,Close
03/12/2025,03/12/2025,Sell to Open,HD,03/28/2025,395.0,Call,Call Sell,3.0,0.92,0.8,275.2,Close
03/12/2025,03/12/2025,Sell to Open,AVGO,03/28/2025,225.0,Call,Call Sell,5.0,1.36,1.33,678.67,Close
03/12/2025,03/12/2025,Sell to Open,NVDA,03/21/2025,130.0,Call,Call Sell,5.0,1.1,1.33,548.67,Close
03/11/2025,03/11/2025,Sell to Open,AAPL,03/14/2025,210.0,Put,Put Sell,1.0,1.1,0.26,109.74,Close
03/11/2025,03/11/2025,Sell to Open,MCD,03/28/2025,270.0,Put,Put Sell,2.0,0.4,0.53,79.47,Close
03/10/2025,03/10/2025,Buy to Open,NVDA,01/16/2026,107.0,Put,Put Buy,2.0,17.9,0.52,-3580.52,Open
03/10/2025,03/10/2025,Buy,NVDA,,0.0,,Stock Buy,200.0,107.0,0.0,-21400.0,Open
03/10/2025,03/10/2025,Sell to Open,AAPL,03/14/2025,235.0,Call,Call Sell,3.0,1.15,0.8,344.2,Close
03/10/2025,03/10/2025,Sell to Open,COST,03/14/2025,840.0,Put,Put Sell,1.0,0.61,0.26,60.74,Close
03/10/2025,03/10/2025,Buy to Open,AAPL,06/18/2026,225.0,Put,Put Buy,3.0,23.3,0.78,-6990.78,Open
03/10/2025,03/10/2025,Buy,AAPL,,0.0,,Stock Buy,300.0,225.0,0.0,-67500.0,Open
03/10/2025,03/10/2025,Sell to Open,WDAY,03/14/2025,227.5,Put,Put Sell,2.0,0.62,0.53,123.47,Close
03/10/2025,03/10/2025,Sell to Open,CVX,03/14/2025,165.0,Call,Call Sell,9.0,0.21,2.39,186.61,Close
03/10/2025,03/10/2025,Sell to Open,MSFT,03/14/2025,350.0,Put,Put Sell,2.0,0.52,0.53,103.47,Close
03/10/2025,03/10/2025,Sell to Open,RF,03/21/2025,21.0,Put,Put Sell,3.0,0.3,0.79,89.21,Close
03/10/2025,03/10/2025,Buy to Open,ORCL,06/20/2025,150.0,Put,Put Buy,3.0,15.5,0.78,-4650.78,Open
03/10/2025,03/10/2025,Sell to Open,SPY,03/14/2025,535.0,Put,Put Sell,3.0,0.68,0.8,203.2,Close
03/10/2025,03/10/2025,Sell to Open,DE,03/14/2025,460.0,Put,Put Sell,2.0,0.7,0.53,139.47,Close
03/10/2025,03/10/2025,Sell to Close,HD,03/21/2025,360.0,Put,Put Sell,3.0,2.88,0.81,863.19,Close
03/10/2025,03/10/2025,Buy to Open,HD,06/18/2026,380.0,Put,Put Buy,3.0,39.45,0.78,-11835.78,Open
03/10/2025,03/10/2025,Sell to Open,CAT,03/14/2025,335.0,Put,Put Sell,2.0,1.3,0.54,259.46,Close
03/10/2025,03/10/2025,Sell to Open,AVGO,03/14/2025,165.0,Put,Put Sell,2.0,0.68,0.53,135.47,Close
03/10/2025,03/10/2025,Buy to Open,AMD,06/18/2026,130.0,Put,Put Buy,15.0,36.93,3.91,-55398.91,Open
03/10/2025,03/10/2025,Sell to Close,AMD,03/21/2025,115.0,Put,Put Sell,15.0,14.73,4.56,22090.44,Close
03/10/2025,03/10/2025,Qualified Dividend,CVX,,0.0,,Dividend,0.0,0.0,0.0,1539.0,Close
03/10/2025,03/10/2025,Qualified Dividend,XOM,,0.0,,Dividend,0.0,0.0,0.0,297.0,Close
03/10/2025,03/07/2025,Buy,INTC,,0.0,,Stock Buy,4500.0,23.5,0.0,-105750.0,Open
03/10/2025,03/07/2025,Buy,HD,,0.0,,Stock Buy,100.0,380.0,0.0,-38000.0,Open
03/10/2025,03/07/2025,Buy,ORCL,,0.0,,Stock Buy,300.0,160.0,0.0,-48000.0,Open
03/10/2025,03/07/2025,Buy,NVDA,,0.0,,Stock Buy,100.0,115.0,0.0,-11500.0,Open
03/10/2025,03/07/2025,Buy,NVDA,,0.0,,Stock Buy,100.0,116.0,0.0,-11600.0,Open
03/10/2025,03/07/2025,Buy,NVDA,,0.0,,Stock Buy,100.0,118.0,0.0,-11800.0,Open
03/10/2025,03/07/2025,Expired,WDAY,03/07/2025,247.5,Put,Expired,2.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,AAPL,03/07/2025,252.5,Call,Expired,10.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,MSFT,03/07/2025,360.0,Put,Expired,2.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,AVGO,03/07/2025,160.0,Put,Expired,3.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,XOM,03/07/2025,107.0,Put,Expired,2.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,MSFT,03/07/2025,410.0,Call,Expired,-2.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,MSFT,03/07/2025,415.0,Call,Expired,2.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,MSFT,03/07/2025,375.0,Put,Expired,2.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,MCD,03/07/2025,295.0,Put,Expired,2.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,HD,03/07/2025,405.0,Call,Expired,2.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,CAT,03/07/2025,330.0,Put,Expired,1.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Assigned,INTC,03/07/2025,23.5,Put,Assigned,45.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Assigned,HD,03/07/2025,380.0,Put,Assigned,1.0,0.0,0.0,0.0,Close
